[2.3s-71.1s] 一世多 一世多红旋
[71.1s-80.1s] 反正哈 大音线跟我们又有什么关系
[81.6s-83.7s] 大音线跟我们又有什么关系
[4043.7s-4044.4s] 要撤退
[4044.4s-4045.2s] 要听
[4046.6s-4048.2s] 不是说我百分之百对
[4049.1s-4051.0s] 而是我成功的概率
[4051.0s-4052.6s] 应该比你们要高一点点
[4054.4s-4055.4s] 这一场仗下来
[4055.4s-4057.2s] 我相信你们会有这个意思的
[4057.5s-4059.1s] 我无论是悬谷
[4059.1s-4059.9s] 泽石
[4059.9s-4061.0s] 选主线
[4061.4s-4063.8s] 应该比大家要高那么一点点
[4068.5s-4069.9s] 所以我们直播间
[4069.9s-4071.9s] 赚钱和亏钱的人就两类人
[4072.2s-4073.6s] 赚钱的人就是听话的人
[4073.6s-4075.0s] 亏钱的人就是逆子
[4078.3s-4078.9s] 能懂吗
[4078.9s-4079.8s] 我给你们定位了
[4079.8s-4081.2s] 我们直播间就两类人
[4081.5s-4082.8s] 一类是听话的人
[4083.6s-4084.7s] 我比较喜欢的人
[4084.7s-4086.1s] 既自己有认知
[4086.3s-4088.2s] 又能够严格的执行
[4088.4s-4090.6s] 高认知加高执行力听话的人
[4090.8s-4092.1s] 第二类就是逆子
[4092.8s-4094.0s] 我说什么你就要反折来
[4094.0s-4095.3s] 我说什么你就要反折来
[4095.8s-4096.8s] 千万亏麻
[4098.0s-4099.6s] 但是还是要做逆子
[4100.4s-4101.3s] 就这两类人
[4110.0s-4111.0s] 都是逆子
[4111.0s-4111.6s] 好结束
[4111.6s-4112.1s] 拜拜
[4113.8s-4114.3s] 拜拜
[4114.4s-4118.5s] 我就是逆子
